0, 171, 70, -40, -0.208067, 0.978115, -0.416135, 1.95623, 1.78039, 8, 
0.5, 171, 69.896, -39.5109, -0.416135, 1.95623, -0.416135, 1.95623, 1.78039, 8, 
1, 171, 69.6879, -38.5328, -0.624202, 2.93434, -0.416134, 1.95623, 1.78039, 8, 
1.5, 171, 69.3758, -37.0657, -0.832269, 3.91246, -0.416134, 1.95623, 1.78039, 8, 
2, 171, 68.9597, -35.1094, -0.832269, 3.91246, -0.416134, 1.95623, 1.78039, 8, 
2.5, 171, 68.5435, -33.1532, -0.832269, 3.91246, -0.416134, 1.95623, 1.78039, 8, 
3, 171, 68.1274, -31.197, -0.832269, 3.91246, -0.416134, 1.95623, 1.78039, 8, 
3.5, 171, 67.7112, -29.2407, -0.832268, 3.91246, -0.416134, 1.95623, 1.78039, 8, 
4, 171, 67.2951, -27.2845, -0.832268, 3.91246, -0.416133, 1.95623, 1.78039, 8, 
4.5, 171, 66.879, -25.3283, -0.832267, 3.91246, -0.416133, 1.95623, 1.78039, 8, 
5, 171, 66.4628, -23.3721, -0.840764, 3.91064, -0.437354, 1.95159, 1.78257, 8, 
5.5, 171, 66.0425, -21.4167, -0.873289, 3.90351, -0.501392, 1.93613, 1.79089, 8, 
6, 171, 65.6058, -19.465, -0.925497, 3.89146, -0.566335, 1.91814, 1.80429, 8, 
6.5, 171, 65.1431, -17.5192, -0.993438, 3.87467, -0.631078, 1.89783, 1.82178, 8, 
7, 171, 64.6463, -15.5819, -1.07352, 3.85325, -0.69461, 1.8755, 1.84251, 8, 
7.5, 171, 64.1096, -13.6553, -1.16248, 3.82736, -0.756033, 1.8516, 1.86567, 8, 
8, 171, 63.5284, -11.7416, -1.25738, 3.79724, -0.814589, 1.82659, 1.89056, 8, 
8.5, 171, 62.8997, -9.84299, -1.3556, 3.76329, -0.86967, 1.80102, 1.91655, 8, 
9, 171, 62.2219, -7.96135, -1.45486, 3.72604, -0.920829, 1.77541, 1.94305, 8, 
9.5, 171, 61.4944, -6.09833, -1.55319, 3.68614, -0.96777, 1.75026, 1.96958, 8, 
10, 171, 60.7178, -4.25526, -1.64894, 3.64431, -1.01034, 1.72604, 1.9957, 8, 
10.5, 171, 59.8934, -2.4331, -1.74081, 3.60133, -1.04853, 1.70311, 2.02106, 8, 
11, 171, 59.023, -0.632438, -1.82776, 3.55799, -1.08239, 1.68179, 2.04535, 8, 
11.5, 171, 58.1091, 1.14656, -1.90907, 3.51503, -1.1121, 1.6623, 2.06834, 8, 
12, 171, 57.1545, 2.90407, -1.98425, 3.47315, -1.13787, 1.64476, 2.08985, 8, 
12.5, 171, 56.1624, 4.64065, -2.06891, 3.42339, -1.19755, 1.60184, 2.11441, 8, 
13, 171, 55.128, 6.35234, -2.21101, 3.33338, -1.37004, 1.45704, 2.15646, 8, 
13.5, 171, 54.0224, 8.01903, -2.41625, 3.18775, -1.57019, 1.23875, 2.21938, 8, 
14, 171, 52.8143, 9.61291, -2.68722, 2.96292, -1.77886, 0.91415, 2.30744, 8, 
14.5, 171, 51.4707, 11.0944, -3.0141, 2.62967, -1.94613, 0.461049, 2.4242, 8, 
15, 171, 49.9637, 12.4092, -3.363, 2.1657, -1.99794, -0.0906799, 2.56946, 8, 
15.5, 171, 48.2822, 13.4921, -3.67729, 1.57401, -1.89429, -0.641623, 2.73715, 8, 
16, 171, 46.4435, 14.2791, -3.90027, 0.887635, -1.67488, -1.09306, 2.91782, 8, 
16.5, 171, 44.4934, 14.7229, -3.99697, 0.155579, -1.41173, -1.41669, 3.10269, 8, 
17, 171, 42.4949, 14.8007, -3.95345, -0.608499, -1.04875, -1.70297, -2.98887, 8, 
17.5, 171, 40.5182, 14.4964, -3.78611, -1.2905, -0.901448, -1.78533, -2.81309, 8, 
18, 171, 38.6251, 13.8512, -3.53232, -1.87689, -0.763896, -1.84837, -2.65318, 8, 
18.5, 171, 36.859, 12.9127, -3.22659, -2.36414, -0.643147, -1.89377, -2.50925, 8, 
19, 171, 35.2457, 11.7307, -2.89859, -2.75648, -0.542973, -1.92488, -2.38132, 8, 
19.5, 171, 33.7964, 10.3524, -2.57193, -3.06352, -0.464336, -1.94535, -2.26918, 8, 
20, 171, 32.5104, 8.82065, -2.26376, -3.29779, -0.406303, -1.95829, -2.17237, 8, 
20.5, 171, 31.3785, 7.17176, -1.98519, -3.47261, -0.366907, -1.96606, -2.09012, 8, 
21, 171, 30.3859, 5.43545, -1.74231, -3.60061, -0.343759, -1.97024, -2.02148, 8, 
21.5, 171, 29.5148, 3.63515, -1.53741, -3.69275, -0.334421, -1.97184, -1.9653, 8, 
22, 171, 28.7461, 1.78878, -1.37012, -3.75803, -0.336595, -1.97147, -1.92041, 8, 
22.5, 171, 28.061, -0.0902374, -1.23839, -3.80347, -0.348196, -1.96946, -1.88557, 8, 
23, 171, 27.4418, -1.99197, -1.1392, -3.83435, -0.367364, -1.96597, -1.85959, 8, 
23.5, 171, 26.8722, -3.90915, -1.06906, -3.85449, -0.392458, -1.96112, -1.84135, 8, 
24, 171, 26.3377, -5.83639, -1.02433, -3.86662, -0.422029, -1.95497, -1.82976, 8, 
24.5, 171, 25.8255, -7.7697, -1.00146, -3.87261, -0.454803, -1.9476, -1.82385, 8, 
